precip,snofall, snomlt,surq_gen,latq,wateryld,perc,et,tloss, eplant,esoil,surq_cont,cn,sw_init,sw_final,sw_ave, sw_300,sno_init,sno_final,snopack, pet,qtile, irr,surq_runon,latq_runon,overbank,surq_cha,surq_res,surq_ls,latq_cha,latq_res,latq_ls,flo_out
1.24,0,0,1.95E-04,5.89,5.89,6.47E-02,1.81,0,7.77E-03,0.247,1.94E-04,43.3,232,232,232,54.7,0,0,0,2.14,0,0,0,0,0,1.94E-04,0,0,5.89,0,0,1.28
12.1,0,0,0.155,7.06,7.21,8.79E-02,0.673,0,0,3.10E-02,0.155,43.3,232,232,232,54.8,0,0,0,0.684,0,0,0,0,0,0.155,0,0,7.06,0,0,1.75
1.79,0,0,1.65E-04,5.5,5.5,6.36E-02,1.28,0,1.60E-06,5.69E-02,1.64E-04,43.3,232,231,232,54.7,0,0,0,1.3,0,0,0,0,0,1.64E-04,0,0,5.5,0,0,1.31
2.16E-02,0,0,9.66E-07,4.07,4.07,5.70E-02,1.23,0,2.73E-02,0.615,0,43.3,231,230,231,54,0,0,0,2.36,0,0,0,0,0,0,0,0,4.07,0,0,0.922
9.2,0,0,2.67E-02,4.73,4.76,7.22E-02,1.51,0,1.00E-03,9.01E-02,2.67E-02,43.3,230,231,231,54.6,0,0,0,1.57,0,0,0,0,0,2.67E-02,0,0,4.73,0,0,1.26
13.1,0,0,0.175,6.4,6.57,8.65E-02,1.95,0,1.15E-02,0.328,0.175,43.3,231,232,231,54.8,0,0,0,2.44,0,0,0,0,0,0.175,0,0,6.4,0,0,1.79
4.12,0,0,8.07E-03,5.31,5.32,6.44E-02,1.79,0,7.13E-03,0.234,8.07E-03,43.3,232,231,231,54.7,0,0,0,2.1,0,0,0,0,0,8.07E-03,0,0,5.31,0,0,1.44
2.16E-02,0,0,9.66E-07,3.92,3.92,5.56E-02,0.962,0,2.74E-02,0.6,0,43.3,231,230,230,54,0,0,0,2.1,0,0,0,0,0,0,0,0,3.92,0,0,1
0.124,0,0,9.66E-07,2.91,2.91,5.23E-02,1.45,0,3.88E-02,0.853,0,43.3,230,228,229,53,0,0,0,3.05,0,0,0,0,0,0,0,0,2.91,0,0,0.713
0,0,0,9.66E-07,2.18,2.18,4.95E-02,1.29,0,3.87E-02,0.855,0,43.3,228,227,228,52.1,0,0,0,2.9,0,0,0,0,0,0,0,0,2.18,0,0,0.507
0,0,0,9.66E-07,1.65,1.65,4.71E-02,1.2,0,3.50E-02,0.768,0,43.3,227,226,226,51.3,0,0,0,2.65,0,0,0,0,0,0,0,0,1.65,0,0,0.361
0,0,0,9.66E-07,1.26,1.26,4.51E-02,1.31,0,3.82E-02,0.833,0,43.3,226,225,225,50.5,0,0,0,2.89,0,0,0,0,0,0,0,0,1.26,0,0,0.257
0,0,0,9.66E-07,0.971,0.971,4.32E-02,1.37,0,4.00E-02,0.876,0,43.3,225,223,224,49.6,0,0,0,3.03,0,0,0,0,0,0,0,0,0.971,0,0,0.183
